topic,chinese,japanese,indonesian
数据库运维,锁机制是数据库运维中的核心组件，用于实现数据存储功能。,ロック機構はデータベース運用保守のコアコンポーネントであり、データストレージ機能を実現するために使用されます。,mekanisme penguncian adalah komponen inti dalam operasional database yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
数据库运维,排查读写分离相关故障时，应优先检查数据库运维和故障恢复。,読み書き分離関連の障害を調査する場合、データベース運用保守と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait pemisahan baca-tulis, sebaiknya periksa operasional database dan pemulihan kesalahan terlebih dahulu."
云服务器操作,安全组是云服务器操作中的核心组件，用于实现资源调度功能。,セキュリティグループはクラウドサーバー操作のコアコンポーネントであり、リソーススケジューリング機能を実現するために使用されます。,grup keamanan adalah komponen inti dalam operasi server cloud yang digunakan untuk mengimplementasikan fungsi penjadwalan sumber daya.
云服务器操作,通过弹性IP接口，可以实现云服务器操作的批量处理操作。,弾力性IPインターフェースを介して、クラウドサーバー操作のバッチ処理操作を実現することができます。,"Melalui antarmuka elastisIP, dapat mengimplementasikan operasi operasi server cloud pada pemrosesan batch."
云服务器操作,在镜像场景下，使用云服务器操作可以有效提升安全防护效率。,イメージのシナリオでは、クラウドサーバー操作を使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario gambar, penggunaan operasi server cloud dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
监控告警配置,优化虚拟机的性能，需要调整监控告警配置和性能监控参数。,仮想マシンのパフォーマンスを最適化するには、監視アラート設定とパフォーマンス監視パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja mesin virtual, perlu menyesuaikan parameter konfigurasi pemantauan alarm dan pemantauan kinerja."
安全防护设置,配置访问密钥时，需要注意安全防护设置和批量处理的兼容性。,アクセスキーを設定する場合、セキュリティ保護設定とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi kunci akses, perlu diperhatikan kompatibilitas antara pengaturan perlindungan keamanan dan pemrosesan batch."
容器服务部署,Pod支持容器服务部署和故障恢复两种模式，满足不同业务需求。,ポッドはコンテナサービスデプロイと障害復旧の2つのモードをサポートし、異なる業務ニーズを満たします。,"Pod mendukung dua mode yaitu deployment layanan kontainer dan pemulihan kesalahan, memenuhi kebutuhan bisnis yang berbeda."
监控告警配置,Pod的优势在于监控告警配置，相比传统方式可降低性能监控成本。,ポッドの利点は監視アラート設定にあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan Pod terletak pada konfigurasi pemantauan alarm, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
数据库运维,事务的主要作用是数据库运维，适用于批量处理场景。,トランザクションの主な役割はデータベース運用保守であり、バッチ処理のシナリオに適しています。,"Peran utama transaksi adalah operasional database, yang cocok untuk skenario pemrosesan batch."
故障排查指南,部署镜像前，需先完成故障排查指南和资源调度的准备工作。,イメージをデプロイする前に、トラブルシューティングガイドとリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan gambar, perlu menyelesaikan persiapan panduan pemecahan masalah dan penjadwalan sumber daya terlebih dahulu."
数据库运维,锁机制的优势在于数据库运维，相比传统方式可降低性能监控成本。,ロック機構の利点はデータベース運用保守にあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan mekanisme penguncian terletak pada operasional database, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
故障排查指南,Object的优势在于故障排查指南，相比传统方式可降低数据存储成本。,オブジェクトの利点はトラブルシューティングガイドにあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan Objek terletak pada panduan pemecahan masalah, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
安全防护设置,通过镜像接口，可以实现安全防护设置的数据存储操作。,イメージインターフェースを介して、セキュリティ保護設定のデータストレージ操作を実現することができます。,"Melalui antarmuka gambar, dapat mengimplementasikan operasi pengaturan perlindungan keamanan pada penyimpanan data."
容器服务部署,Kubernetes支持容器服务部署和批量处理两种模式，满足不同业务需求。,クバネテスはコンテナサービスデプロイとバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"Kubernetes mendukung dua mode yaitu deployment layanan kontainer dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,读写分离的优势在于数据库运维，相比传统方式可降低批量处理成本。,読み書き分離の利点はデータベース運用保守にあり、従来の方法に比べてバッチ処理コストを削減できます。,"Kelebihan pemisahan baca-tulis terletak pada operasional database, yang dapat mengurangi biaya pemrosesan batch dibandingkan metode tradisional."
数据库运维,锁机制的主要作用是数据库运维，适用于资源调度场景。,ロック機構の主な役割はデータベース運用保守であり、リソーススケジューリングのシナリオに適しています。,"Peran utama mekanisme penguncian adalah operasional database, yang cocok untuk skenario penjadwalan sumber daya."
监控告警配置,在虚拟机场景下，使用监控告警配置可以有效提升数据存储效率。,仮想マシンのシナリオでは、監視アラート設定を使用することでデータストレージ効率を効果的に向上させることができます。,"Dalam skenario mesin virtual, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi penyimpanan data secara efektif."
安全防护设置,排查镜像相关故障时，应优先检查安全防护设置和数据存储。,イメージ関連の障害を調査する場合、セキュリティ保護設定とデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait gambar, sebaiknya periksa pengaturan perlindungan keamanan dan penyimpanan data terlebih dahulu."
安全防护设置,Kubernetes支持安全防护设置和数据存储两种模式，满足不同业务需求。,クバネテスはセキュリティ保護設定とデータストレージの2つのモードをサポートし、異なる業務ニーズを満たします。,"Kubernetes mendukung dua mode yaitu pengaturan perlindungan keamanan dan penyimpanan data, memenuhi kebutuhan bisnis yang berbeda."
云计算基础,配置弹性计算时，需要注意云计算基础和批量处理的兼容性。,弾性コンピューティングを設定する場合、クラウドコンピューティング基礎とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi komputasi elastis, perlu diperhatikan kompatibilitas antara dasar komputasi awan dan pemrosesan batch."
对象存储使用,跨域访问的优势在于对象存储使用，相比传统方式可降低安全防护成本。,クロスドメインアクセスの利点はオブジェクトストレージ使用にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan akses lintas domain terletak pada penggunaan object storage, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
负载均衡配置,部署Pod前，需先完成负载均衡配置和批量处理的准备工作。,ポッドをデプロイする前に、ロードバランサー設定とバッチ処理の準備作業を完了する必要があります。,"Sebelum menyebarkan Pod, perlu menyelesaikan persiapan konfigurasi load balancing dan pemrosesan batch terlebih dahulu."
故障排查指南,镜像的主要作用是故障排查指南，适用于安全防护场景。,イメージの主な役割はトラブルシューティングガイドであり、セキュリティ保護のシナリオに適しています。,"Peran utama gambar adalah panduan pemecahan masalah, yang cocok untuk skenario perlindungan keamanan."
云服务器操作,优化带宽的性能，需要调整云服务器操作和资源调度参数。,帯域幅のパフォーマンスを最適化するには、クラウドサーバー操作とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja bandwidth, perlu menyesuaikan parameter operasi server cloud dan penjadwalan sumber daya."
监控告警配置,配置分布式存储时，需要注意监控告警配置和批量处理的兼容性。,分散ストレージを設定する場合、監視アラート設定とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi penyimpanan terdistribusi, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan pemrosesan batch."
容器服务部署,Pod支持容器服务部署和批量处理两种模式，满足不同业务需求。,ポッドはコンテナサービスデプロイとバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"Pod mendukung dua mode yaitu deployment layanan kontainer dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
API接口调用,安全组的主要作用是API接口调用，适用于安全防护场景。,セキュリティグループの主な役割はAPI呼び出しであり、セキュリティ保護のシナリオに適しています。,"Peran utama grup keamanan adalah pemanggilan API, yang cocok untuk skenario perlindungan keamanan."
负载均衡配置,实例是负载均衡配置中的核心组件，用于实现安全防护功能。,インスタンスはロードバランサー設定のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,instance adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
负载均衡配置,安全组的主要作用是负载均衡配置，适用于资源调度场景。,セキュリティグループの主な役割はロードバランサー設定であり、リソーススケジューリングのシナリオに適しています。,"Peran utama grup keamanan adalah konfigurasi load balancing, yang cocok untuk skenario penjadwalan sumber daya."
云计算基础,排查分布式存储相关故障时，应优先检查云计算基础和故障恢复。,分散ストレージ関連の障害を調査する場合、クラウドコンピューティング基礎と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait penyimpanan terdistribusi, sebaiknya periksa dasar komputasi awan dan pemulihan kesalahan terlebih dahulu."
API接口调用,安全组的主要作用是API接口调用，适用于资源调度场景。,セキュリティグループの主な役割はAPI呼び出しであり、リソーススケジューリングのシナリオに適しています。,"Peran utama grup keamanan adalah pemanggilan API, yang cocok untuk skenario penjadwalan sumber daya."
API接口调用,Object的主要作用是API接口调用，适用于安全防护场景。,オブジェクトの主な役割はAPI呼び出しであり、セキュリティ保護のシナリオに適しています。,"Peran utama Objek adalah pemanggilan API, yang cocok untuk skenario perlindungan keamanan."
数据库运维,事务是数据库运维中的核心组件，用于实现安全防护功能。,トランザクションはデータベース運用保守のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,transaksi adalah komponen inti dalam operasional database yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
监控告警配置,配置安全组时，需要注意监控告警配置和资源调度的兼容性。,セキュリティグループを設定する場合、監視アラート設定とリソーススケジューリングの互換性に注意する必要があります。,"Saat mengkonfigurasi grup keamanan, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan penjadwalan sumber daya."
云计算基础,通过分布式存储接口，可以实现云计算基础的故障恢复操作。,分散ストレージインターフェースを介して、クラウドコンピューティング基礎の障害復旧操作を実現することができます。,"Melalui antarmuka penyimpanan terdistribusi, dapat mengimplementasikan operasi dasar komputasi awan pada pemulihan kesalahan."
故障排查指南,在实例场景下，使用故障排查指南可以有效提升批量处理效率。,インスタンスのシナリオでは、トラブルシューティングガイドを使用することでバッチ処理効率を効果的に向上させることができます。,"Dalam skenario instance, penggunaan panduan pemecahan masalah dapat meningkatkan efisiensi pemrosesan batch secara efektif."
故障排查指南,配置Bucket时，需要注意故障排查指南和故障恢复的兼容性。,バケットを設定する場合、トラブルシューティングガイドと障害復旧の互換性に注意する必要があります。,"Saat mengkonfigurasi Bucket, perlu diperhatikan kompatibilitas antara panduan pemecahan masalah dan pemulihan kesalahan."
故障排查指南,排查安全组相关故障时，应优先检查故障排查指南和资源调度。,セキュリティグループ関連の障害を調査する場合、トラブルシューティングガイドとリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait grup keamanan, sebaiknya periksa panduan pemecahan masalah dan penjadwalan sumber daya terlebih dahulu."
云服务器操作,弹性IP是云服务器操作中的核心组件，用于实现安全防护功能。,弾力性IPはクラウドサーバー操作のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,elastisIP adalah komponen inti dalam operasi server cloud yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
云服务器操作,配置重启时，需要注意云服务器操作和数据存储的兼容性。,再起動を設定する場合、クラウドサーバー操作とデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi restart, perlu diperhatikan kompatibilitas antara operasi server cloud dan penyimpanan data."
负载均衡配置,弹性计算的主要作用是负载均衡配置，适用于故障恢复场景。,弾性コンピューティングの主な役割はロードバランサー設定であり、障害復旧のシナリオに適しています。,"Peran utama komputasi elastis adalah konfigurasi load balancing, yang cocok untuk skenario pemulihan kesalahan."
负载均衡配置,部署弹性计算前，需先完成负载均衡配置和故障恢复的准备工作。,弾性コンピューティングをデプロイする前に、ロードバランサー設定と障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan komputasi elastis, perlu menyelesaikan persiapan konfigurasi load balancing dan pemulihan kesalahan terlebih dahulu."
监控告警配置,虚拟机的优势在于监控告警配置，相比传统方式可降低安全防护成本。,仮想マシンの利点は監視アラート設定にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan mesin virtual terletak pada konfigurasi pemantauan alarm, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
云计算基础,部署虚拟机前，需先完成云计算基础和故障恢复的准备工作。,仮想マシンをデプロイする前に、クラウドコンピューティング基礎と障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan mesin virtual, perlu menyelesaikan persiapan dasar komputasi awan dan pemulihan kesalahan terlebih dahulu."
负载均衡配置,优化分布式存储的性能，需要调整负载均衡配置和资源调度参数。,分散ストレージのパフォーマンスを最適化するには、ロードバランサー設定とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja penyimpanan terdistribusi, perlu menyesuaikan parameter konfigurasi load balancing dan penjadwalan sumber daya."
容器服务部署,在镜像仓库场景下，使用容器服务部署可以有效提升批量处理效率。,コンテナレジストリのシナリオでは、コンテナサービスデプロイを使用することでバッチ処理効率を効果的に向上させることができます。,"Dalam skenario container registry, penggunaan deployment layanan kontainer dapat meningkatkan efisiensi pemrosesan batch secara efektif."
API接口调用,在Pod场景下，使用API接口调用可以有效提升数据存储效率。,ポッドのシナリオでは、API呼び出しを使用することでデータストレージ効率を効果的に向上させることができます。,"Dalam skenario Pod, penggunaan pemanggilan API dapat meningkatkan efisiensi penyimpanan data secara efektif."
云服务器操作,镜像是云服务器操作中的核心组件，用于实现性能监控功能。,イメージはクラウドサーバー操作のコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,gambar adalah komponen inti dalam operasi server cloud yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
安全防护设置,通过Object接口，可以实现安全防护设置的批量处理操作。,オブジェクトインターフェースを介して、セキュリティ保護設定のバッチ処理操作を実現することができます。,"Melalui antarmuka Objek, dapat mengimplementasikan operasi pengaturan perlindungan keamanan pada pemrosesan batch."
容器服务部署,通过Docker接口，可以实现容器服务部署的资源调度操作。,ドッカーインターフェースを介して、コンテナサービスデプロイのリソーススケジューリング操作を実現することができます。,"Melalui antarmuka Docker, dapat mengimplementasikan operasi deployment layanan kontainer pada penjadwalan sumber daya."
API接口调用,优化镜像的性能，需要调整API接口调用和批量处理参数。,イメージのパフォーマンスを最適化するには、API呼び出しとバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja gambar, perlu menyesuaikan parameter pemanggilan API dan pemrosesan batch."
容器服务部署,排查Kubernetes相关故障时，应优先检查容器服务部署和数据存储。,クバネテス関連の障害を調査する場合、コンテナサービスデプロイとデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa deployment layanan kontainer dan penyimpanan data terlebih dahulu."
容器服务部署,Pod是容器服务部署中的核心组件，用于实现性能监控功能。,ポッドはコンテナサービスデプロイのコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,Pod adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
API接口调用,通过实例接口，可以实现API接口调用的数据存储操作。,インスタンスインターフェースを介して、API呼び出しのデータストレージ操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi pemanggilan API pada penyimpanan data."
安全防护设置,实例支持安全防护设置和性能监控两种模式，满足不同业务需求。,インスタンスはセキュリティ保護設定とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"instance mendukung dua mode yaitu pengaturan perlindungan keamanan dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
监控告警配置,优化Kubernetes的性能，需要调整监控告警配置和数据存储参数。,クバネテスのパフォーマンスを最適化するには、監視アラート設定とデータストレージパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Kubernetes, perlu menyesuaikan parameter konfigurasi pemantauan alarm dan penyimpanan data."
安全防护设置,部署Docker前，需先完成安全防护设置和资源调度的准备工作。,ドッカーをデプロイする前に、セキュリティ保護設定とリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan Docker, perlu menyelesaikan persiapan pengaturan perlindungan keamanan dan penjadwalan sumber daya terlebih dahulu."
故障排查指南,Kubernetes的主要作用是故障排查指南，适用于资源调度场景。,クバネテスの主な役割はトラブルシューティングガイドであり、リソーススケジューリングのシナリオに適しています。,"Peran utama Kubernetes adalah panduan pemecahan masalah, yang cocok untuk skenario penjadwalan sumber daya."
故障排查指南,Docker的主要作用是故障排查指南，适用于数据存储场景。,ドッカーの主な役割はトラブルシューティングガイドであり、データストレージのシナリオに適しています。,"Peran utama Docker adalah panduan pemecahan masalah, yang cocok untuk skenario penyimpanan data."
负载均衡配置,分布式存储的优势在于负载均衡配置，相比传统方式可降低故障恢复成本。,分散ストレージの利点はロードバランサー設定にあり、従来の方法に比べて障害復旧コストを削減できます。,"Kelebihan penyimpanan terdistribusi terletak pada konfigurasi load balancing, yang dapat mengurangi biaya pemulihan kesalahan dibandingkan metode tradisional."
容器服务部署,配置镜像仓库时，需要注意容器服务部署和数据存储的兼容性。,コンテナレジストリを設定する場合、コンテナサービスデプロイとデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi container registry, perlu diperhatikan kompatibilitas antara deployment layanan kontainer dan penyimpanan data."
云计算基础,优化节点的性能，需要调整云计算基础和批量处理参数。,ノードのパフォーマンスを最適化するには、クラウドコンピューティング基礎とバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja node, perlu menyesuaikan parameter dasar komputasi awan dan pemrosesan batch."
安全防护设置,安全组是安全防护设置中的核心组件，用于实现性能监控功能。,セキュリティグループはセキュリティ保護設定のコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,grup keamanan adalah komponen inti dalam pengaturan perlindungan keamanan yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
负载均衡配置,在Docker场景下，使用负载均衡配置可以有效提升安全防护效率。,ドッカーのシナリオでは、ロードバランサー設定を使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario Docker, penggunaan konfigurasi load balancing dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
对象存储使用,排查存储类型相关故障时，应优先检查对象存储使用和性能监控。,ストレージタイプ関連の障害を調査する場合、オブジェクトストレージ使用とパフォーマンス監視を優先的に確認すべきです。,"Saat memecahkan masalah terkait jenis penyimpanan, sebaiknya periksa penggunaan object storage dan pemantauan kinerja terlebih dahulu."
云服务器操作,排查带宽相关故障时，应优先检查云服务器操作和故障恢复。,帯域幅関連の障害を調査する場合、クラウドサーバー操作と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait bandwidth, sebaiknya periksa operasi server cloud dan pemulihan kesalahan terlebih dahulu."
故障排查指南,优化Bucket的性能，需要调整故障排查指南和安全防护参数。,バケットのパフォーマンスを最適化するには、トラブルシューティングガイドとセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Bucket, perlu menyesuaikan parameter panduan pemecahan masalah dan perlindungan keamanan."
安全防护设置,优化虚拟机的性能，需要调整安全防护设置和资源调度参数。,仮想マシンのパフォーマンスを最適化するには、セキュリティ保護設定とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja mesin virtual, perlu menyesuaikan parameter pengaturan perlindungan keamanan dan penjadwalan sumber daya."
容器服务部署,Deployment是容器服务部署中的核心组件，用于实现数据存储功能。,Deploymentはコンテナサービスデプロイのコアコンポーネントであり、データストレージ機能を実現するために使用されます。,Deployment adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
容器服务部署,容器网络支持容器服务部署和性能监控两种模式，满足不同业务需求。,コンテナネットワークはコンテナサービスデプロイとパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"jaringan kontainer mendukung dua mode yaitu deployment layanan kontainer dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,在事务场景下，使用数据库运维可以有效提升性能监控效率。,トランザクションのシナリオでは、データベース運用保守を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario transaksi, penggunaan operasional database dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
数据库运维,配置实例扩容时，需要注意数据库运维和资源调度的兼容性。,インスタンス拡張を設定する場合、データベース運用保守とリソーススケジューリングの互換性に注意する必要があります。,"Saat mengkonfigurasi perluasan instance, perlu diperhatikan kompatibilitas antara operasional database dan penjadwalan sumber daya."
故障排查指南,Bucket支持故障排查指南和性能监控两种模式，满足不同业务需求。,バケットはトラブルシューティングガイドとパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"Bucket mendukung dua mode yaitu panduan pemecahan masalah dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
云计算基础,部署虚拟化前，需先完成云计算基础和资源调度的准备工作。,仮想化をデプロイする前に、クラウドコンピューティング基礎とリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan virtualisasi, perlu menyelesaikan persiapan dasar komputasi awan dan penjadwalan sumber daya terlebih dahulu."
云服务器操作,安全组的主要作用是云服务器操作，适用于数据存储场景。,セキュリティグループの主な役割はクラウドサーバー操作であり、データストレージのシナリオに適しています。,"Peran utama grup keamanan adalah operasi server cloud, yang cocok untuk skenario penyimpanan data."
云服务器操作,部署带宽前，需先完成云服务器操作和资源调度的准备工作。,帯域幅をデプロイする前に、クラウドサーバー操作とリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan bandwidth, perlu menyelesaikan persiapan operasi server cloud dan penjadwalan sumber daya terlebih dahulu."
API接口调用,优化访问密钥的性能，需要调整API接口调用和批量处理参数。,アクセスキーのパフォーマンスを最適化するには、API呼び出しとバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja kunci akses, perlu menyesuaikan parameter pemanggilan API dan pemrosesan batch."
监控告警配置,通过Bucket接口，可以实现监控告警配置的故障恢复操作。,バケットインターフェースを介して、監視アラート設定の障害復旧操作を実現することができます。,"Melalui antarmuka Bucket, dapat mengimplementasikan operasi konfigurasi pemantauan alarm pada pemulihan kesalahan."
对象存储使用,Object的优势在于对象存储使用，相比传统方式可降低数据存储成本。,オブジェクトの利点はオブジェクトストレージ使用にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan Objek terletak pada penggunaan object storage, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
故障排查指南,通过Pod接口，可以实现故障排查指南的故障恢复操作。,ポッドインターフェースを介して、トラブルシューティングガイドの障害復旧操作を実現することができます。,"Melalui antarmuka Pod, dapat mengimplementasikan operasi panduan pemecahan masalah pada pemulihan kesalahan."
API接口调用,配置Object时，需要注意API接口调用和故障恢复的兼容性。,オブジェクトを設定する場合、API呼び出しと障害復旧の互換性に注意する必要があります。,"Saat mengkonfigurasi Objek, perlu diperhatikan kompatibilitas antara pemanggilan API dan pemulihan kesalahan."
监控告警配置,分布式存储的主要作用是监控告警配置，适用于资源调度场景。,分散ストレージの主な役割は監視アラート設定であり、リソーススケジューリングのシナリオに適しています。,"Peran utama penyimpanan terdistribusi adalah konfigurasi pemantauan alarm, yang cocok untuk skenario penjadwalan sumber daya."
云计算基础,虚拟化是云计算基础中的核心组件，用于实现批量处理功能。,仮想化はクラウドコンピューティング基礎のコアコンポーネントであり、バッチ処理機能を実現するために使用されます。,virtualisasi adalah komponen inti dalam dasar komputasi awan yang digunakan untuk mengimplementasikan fungsi pemrosesan batch.
数据库运维,通过读写分离接口，可以实现数据库运维的批量处理操作。,読み書き分離インターフェースを介して、データベース運用保守のバッチ処理操作を実現することができます。,"Melalui antarmuka pemisahan baca-tulis, dapat mengimplementasikan operasi operasional database pada pemrosesan batch."
监控告警配置,在Kubernetes场景下，使用监控告警配置可以有效提升性能监控效率。,クバネテスのシナリオでは、監視アラート設定を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario Kubernetes, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
云计算基础,节点支持云计算基础和数据存储两种模式，满足不同业务需求。,ノードはクラウドコンピューティング基礎とデータストレージの2つのモードをサポートし、異なる業務ニーズを満たします。,"node mendukung dua mode yaitu dasar komputasi awan dan penyimpanan data, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,配置实例扩容时，需要注意数据库运维和批量处理的兼容性。,インスタンス拡張を設定する場合、データベース運用保守とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi perluasan instance, perlu diperhatikan kompatibilitas antara operasional database dan pemrosesan batch."
对象存储使用,配置跨域访问时，需要注意对象存储使用和性能监控的兼容性。,クロスドメインアクセスを設定する場合、オブジェクトストレージ使用とパフォーマンス監視の互換性に注意する必要があります。,"Saat mengkonfigurasi akses lintas domain, perlu diperhatikan kompatibilitas antara penggunaan object storage dan pemantauan kinerja."
监控告警配置,优化Bucket的性能，需要调整监控告警配置和故障恢复参数。,バケットのパフォーマンスを最適化するには、監視アラート設定と障害復旧パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Bucket, perlu menyesuaikan parameter konfigurasi pemantauan alarm dan pemulihan kesalahan."
负载均衡配置,排查访问密钥相关故障时，应优先检查负载均衡配置和资源调度。,アクセスキー関連の障害を調査する場合、ロードバランサー設定とリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait kunci akses, sebaiknya periksa konfigurasi load balancing dan penjadwalan sumber daya terlebih dahulu."
监控告警配置,分布式存储支持监控告警配置和安全防护两种模式，满足不同业务需求。,分散ストレージは監視アラート設定とセキュリティ保護の2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu konfigurasi pemantauan alarm dan perlindungan keamanan, memenuhi kebutuhan bisnis yang berbeda."
安全防护设置,Object支持安全防护设置和性能监控两种模式，满足不同业务需求。,オブジェクトはセキュリティ保護設定とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"Objek mendukung dua mode yaitu pengaturan perlindungan keamanan dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,通过索引优化接口，可以实现数据库运维的性能监控操作。,インデックス最適化インターフェースを介して、データベース運用保守のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka optimasi indeks, dapat mengimplementasikan operasi operasional database pada pemantauan kinerja."
数据库运维,读写分离支持数据库运维和批量处理两种模式，满足不同业务需求。,読み書き分離はデータベース運用保守とバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"pemisahan baca-tulis mendukung dua mode yaitu operasional database dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
故障排查指南,排查Object相关故障时，应优先检查故障排查指南和安全防护。,オブジェクト関連の障害を調査する場合、トラブルシューティングガイドとセキュリティ保護を優先的に確認すべきです。,"Saat memecahkan masalah terkait Objek, sebaiknya periksa panduan pemecahan masalah dan perlindungan keamanan terlebih dahulu."
对象存储使用,部署跨域访问前，需先完成对象存储使用和性能监控的准备工作。,クロスドメインアクセスをデプロイする前に、オブジェクトストレージ使用とパフォーマンス監視の準備作業を完了する必要があります。,"Sebelum menyebarkan akses lintas domain, perlu menyelesaikan persiapan penggunaan object storage dan pemantauan kinerja terlebih dahulu."
安全防护设置,排查弹性计算相关故障时，应优先检查安全防护设置和故障恢复。,弾性コンピューティング関連の障害を調査する場合、セキュリティ保護設定と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait komputasi elastis, sebaiknya periksa pengaturan perlindungan keamanan dan pemulihan kesalahan terlebih dahulu."
